time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2013-09-18,1e-8,12.9270745098039,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-19,1e-8,12.9566358104688,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-20,1e-8,12.9861971111336,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-21,1e-8,13.0157584117985,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-22,1e-8,13.0453197124633,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-23,1e-8,13.0748810131281,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-24,1e-8,13.104442313793,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-25,1e-8,13.1340036144578,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-26,1e-8,13.137193653981,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27,1e-8,13.1403836935042,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-28,1e-8,13.1435737330273,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-29,1e-8,13.1467637725505,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-30,1e-8,13.1499538120737,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,1e-8,13.1531438515969,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-02,1e-8,13.15633389112,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-03,1e-8,13.1595239306432,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-04,1e-8,13.1627139701664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-05,1e-8,13.1659040096896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-06,1e-8,13.1690940492127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
